分组,队伍,号码,姓名,英文名,位置,出生日期,7m球员ID,备注
A,南非,2,马图卢迪,Tholo Thabang Matuludi,后卫,1999-1-14,,
A,南非,3,恩达马内,Khulumani Ndamane,后卫,2004-2-5,,
A,南非,6,奥布雷·莫迪巴,Aubrey Modiba,后卫,1995-7-22,,
A,南非,14,姆贝克齐莱,Mbekezeli Mbokazi,后卫,2005-9-19,,
A,南非,18,萨穆克洛·卡比尼,Samukele Kabini,后卫,2004-3-15,,
A,南非,19,恩科西那提·西比斯,Nkosinathi Sibisi,后卫,1995-9-22,,
A,南非,20,穆达乌,Khuliso Johnson Mudau,后卫,1995-4-26,,
A,南非,21,奥康,Ime Okon,后卫,2004-2-20,,
A,南非,24,奥尔韦图·马汉亚,Olwethu Makhanya,后卫,2004-4-30,,
A,南非,26,布拉德利·克罗斯,Bradley Cross,后卫,2001-1-30,,
A,南非,4,泰博霍·莫科纳,Teboho Mokoena,中场,1997-1-24,,
A,南非,5,姆巴塔,Thalente Mbatha,中场,2000-3-6,,
A,南非,11,兹瓦内,Themba Zwane,中场,1989-8-3,,
A,南非,13,西索尔,Yaya Sithole,中场,1999-3-3,,
A,南非,23,杰登·亚当斯,Jayden Adams,中场,2001-5-5,,
A,南非,7,奥斯维恩·阿波里斯,Oswin Reagan Appollis,前锋,2001-8-25,,
A,南非,8,莫雷米,Tshepang Moremi,前锋,2000-10-2,,
A,南非,9,莱尔·福斯特,Lyle Foster,前锋,2000-9-3,,
A,南非,10,雷勒博希勒·莫佛肯,Relebohile Mofokeng,前锋,2004-10-23,,
A,南非,12,塔佩洛·马塞科,Thapelo Maseko,前锋,2003-11-11,,
A,南非,15,雷内尔斯,Iqraam Rayners,前锋,1995-12-19,,
A,南非,17,伊维登斯·马克戈帕,Evidence Makgopa,前锋,2000-6-5,,
A,南非,25,塞贝勒贝莱,Kamogelo Sebelebele,前锋,2002-7-21,,
A,南非,1,隆文·威廉姆斯,Ronwen Williams,守门员,1992-1-21,,
A,南非,16,西波·钱恩,Sipho Chaine,守门员,1996-12-14,,
A,南非,22,里卡多·戈斯,Ricardo Goss,守门员,1994-4-2,,
